ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
1,Alabama,AL,1001,Autauga County,1001,"Autauga County, Alabama",594.4547864,58761,0,24457,41,22308,369,11780,1363,752,215,4389,582,3857,512,4225,753,9176,98,13766,42,9425,631,1247,296,203,198,16126,224,970,374,3805,440,307,163,888,237,551,21,20.2,2.3,2.8,0.8,19.7,2.6,9.6,1.3,7.4,1.3,15.6,0.2,23.4,0.1,16.4,1.1,5.6,1.3,0.4,0.4,27.4,0.4,3.9,1.5,15.6,1.8,1.4,0.7,4,1.1,0.9,0,0.3621,0.1457,0.3388,0.4276,0.412,1.6862,0.2367,0.1718,0.6962,0.5581,0.5304,0.315,2.2715,0.3675,0.6354,0.6354,0.6354,0.5921,0.6892,0.3198,0.2491,0.1091,1.9593,0.2358,6.5524,0.2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42938,2425,385,11496,525,1864,0,636,213,59,71,0,30,1930,598,141,183,10.9,1.7,19.6,0.9,3.2,0,1.1,0.4,0.1,0.1,0,0.1,3.3,1,0.2,0.3
1,Alabama,AL,1003,Baldwin County,1003,"Baldwin County, Alabama",1589.861817,233420,0,125113,85,90802,1229,42088,2875,3825,609,21039,1527,14031,1216,21472,1920,49499,64,49396,0,31878,1668,3849,567,1741,496,41259,1020,20730,1122,12752,1015,1801,432,2056,396,3401,75,18.3,1.3,3.4,0.6,23.2,1.7,8.4,0.7,9.3,0.8,21.2,0.1,21.2,0,13.9,0.7,4.2,0.6,0.8,0.2,17.7,0.4,16.6,0.9,10.2,0.8,1.9,0.5,2.3,0.4,1.5,0,0.2638,0.2393,0.6297,0.3303,0.5727,2.0358,0.3433,0.6755,0.391,0.3261,0.2412,0.518,2.1518,0.2883,0.489,0.489,0.489,0.9535,0.5068,0.5087,0.0563,0.3299,2.3552,0.4308,7.0318,0.3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,226339,9867,998,19318,730,11210,0,2046,347,512,187,22,26,7159,918,992,807,10.9,1.1,8.3,0.3,4.8,0,0.9,0.1,0.2,0.1,0,0.1,3.1,0.4,0.4,0.3
1,Alabama,AL,1005,Barbour County,1005,"Barbour County, Alabama",885.0076186,24877,0,11673,52,9016,304,8248,594,516,162,2260,321,4155,360,2348,318,4926,28,5151,26,3970,394,1012,169,467,239,13793,174,154,85,3409,323,345,157,1058,193,2988,104,37.7,2.7,5.8,1.8,25.1,3.5,23.5,2,10.7,1.4,19.8,0.1,20.7,0.1,18.1,1.8,11.3,1.8,2,1,55.4,0.7,1.4,0.7,29.2,2.8,3.8,1.7,11.7,2.1,12,0.4,0.936,0.7082,0.7556,0.9618,0.6701,4.0317,0.9399,0.5453,0.3331,0.6974,0.9701,0.7773,3.3232,0.9399,0.8941,0.8941,0.8941,0.2494,0.9373,0.8587,0.9586,0.9551,3.9591,0.9959,12.2081,0.9927,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,1,1,3,6,27455,2865,304,11662,218,1202,0,126,26,63,37,3,4,447,174,290,201,31.8,3.3,46.9,0.9,4.8,0,0.5,0.1,0.3,0.1,0,0.1,1.8,0.7,1.2,0.8
1,Alabama,AL,1007,Bibb County,1007,"Bibb County, Alabama",622.4692865,22251,0,9046,97,7216,252,6047,940,786,269,1671,336,3366,440,1760,386,3734,131,4715,97,4097,474,515,183,61,106,5731,34,236,161,2765,388,94,64,544,255,1421,278,29,4.5,8.7,3,23.2,4.6,21.1,2.8,8.4,1.9,16.8,0.6,21.2,0.4,19.6,2.2,7.2,2.5,0.3,0.5,25.8,0.2,2.7,1.8,30.6,4.3,1.3,0.9,7.5,3.5,6.4,1.2,0.7515,0.9338,0.6297,0.9373,0.4995,3.7518,0.8893,0.258,0.391,0.7868,0.7706,0.2475,2.4539,0.4954,0.6185,0.6185,0.6185,0.4531,0.95,0.2765,0.7792,0.8664,3.3252,0.8931,10.1494,0.8451,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,18664,1461,309,4598,294,650,0,69,94,15,23,0,24,382,220,17,30,20.2,4.3,20.7,1.3,2.9,0,0.3,0.4,0.1,0.1,0,0.2,1.7,1,0.1,0.1
1,Alabama,AL,1009,Blount County,1009,"Blount County, Alabama",644.8903763,59077,0,24677,50,21626,386,13348,1075,1578,354,4186,467,7447,632,5948,749,10791,132,13564,112,9948,805,1149,231,1222,277,8463,377,232,111,5901,578,511,158,1047,271,612,20,22.9,1.8,6,1.3,19.4,2.1,18.2,1.5,10.2,1.3,18.3,0.2,23,0.2,17,1.4,5.3,1.1,2.2,0.5,14.3,0.6,0.9,0.4,23.9,2.3,2.3,0.7,4.8,1.2,1,0,0.49,0.7385,0.3121,0.8734,0.6328,3.0468,0.6866,0.3926,0.6452,0.6134,0.4693,0.7973,2.9178,0.7884,0.413,0.413,0.413,0.1594,0.8778,0.636,0.3939,0.1403,2.2074,0.3532,8.585,0.6166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39822,3654,454,729,196,5721,0,100,96,75,46,117,96,1634,388,87,80,16.9,2.1,1.2,0.3,9.7,0,0.2,0.2,0.1,0.1,0.2,0.2,2.8,0.7,0.1,0.1
1,Alabama,AL,1011,Bullock County,1011,"Bullock County, Alabama",622.8147532,10328,0,4541,31,3450,214,4559,567,144,146,804,224,1905,318,1176,278,1714,20,2175,0,1078,260,565,191,172,127,8203,75,187,116,1927,261,29,39,359,131,738,61,47.4,5.9,3.7,3.7,23.3,6.3,26.6,4.4,12.2,2.9,16.6,0.4,21.1,0,11.2,2.7,16.3,5.4,1.8,1.3,79.4,0.7,4.1,2.6,42.4,5.8,0.8,1.1,10.4,3.8,7.1,0.6,0.9882,0.2924,0.6405,0.9809,0.7585,3.6605,0.8654,0.244,0.3761,0.1114,0.9971,0.7534,2.482,0.5138,0.9809,0.9809,0.9809,0.6087,0.9924,0.1193,0.9332,0.8858,3.5394,0.9491,10.6628,0.8985,1,0,0,1,0,2,0,0,0,1,0,1,1,1,0,1,0,1,0,2,6,8449,1325,246,7117,88,907,0,43,49,0,20,0,20,136,112,0,20,38.4,7.1,68.9,0.8,8.8,0,0.4,0.5,0,0.4,0,0.4,1.3,1.1,0,0.4
1,Alabama,AL,1013,Butler County,1013,"Butler County, Alabama",776.8382078,18981,0,9835,27,7131,321,6299,599,548,201,1607,244,1646,272,2053,383,4021,87,4234,88,3020,337,514,133,12,76,9326,18,80,47,2116,234,42,32,359,95,335,8,33.8,3.2,6.8,2.5,22.5,3.3,12.4,2,11,2,21.2,0.5,22.3,0.5,16.2,1.8,7.2,1.8,0.1,0.4,49.1,0.1,0.8,0.5,21.5,2.4,0.6,0.4,5,1.3,1.8,0,0.8743,0.832,0.5756,0.6246,0.6885,3.595,0.8441,0.6755,0.5444,0.5406,0.7706,0.0856,2.6167,0.6106,0.8661,0.8661,0.8661,0.1406,0.8377,0.0722,0.4295,0.4321,1.9121,0.217,8.9899,0.6872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17805,1525,222,8462,68,322,0,243,59,69,51,0,20,222,106,8,11,21.4,3,44.6,0.4,1.7,0,1.3,0.3,0.4,0.3,0,0.2,1.2,0.6,0,0.1
1,Alabama,AL,1015,Calhoun County,1015,"Calhoun County, Alabama",605.8899365,116162,0,53167,70,44693,646,32247,1864,3692,568,10291,804,11783,809,12430,1077,20794,97,24599,0,23123,1192,3113,459,553,214,34311,287,2008,316,7780,690,768,217,2490,390,3689,128,28.7,1.7,6.9,1.1,23,1.8,14.9,1,10.8,0.9,17.9,0.1,21.2,0,20.2,1,6.9,1,0.5,0.2,29.5,0.2,3.7,0.6,14.6,1.3,1.7,0.5,5.6,0.9,3.2,0.1,0.7413,0.8403,0.6157,0.7553,0.6742,3.6268,0.854,0.3522,0.391,0.8218,0.7337,0.377,2.6757,0.65,0.658,0.658,0.658,0.5746,0.6634,0.4311,0.5358,0.6901,2.895,0.7114,9.8555,0.8145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120551,7398,658,25204,415,4736,0,708,138,174,92,207,190,2855,389,427,275,16.6,1.4,21.7,0.4,4.1,0,0.6,0.1,0.1,0.1,0.2,0.2,2.5,0.3,0.4,0.2
1,Alabama,AL,1017,Chambers County,1017,"Chambers County, Alabama",596.554065,34612,0,16427,29,13143,375,9779,1047,559,197,3037,384,4087,492,3684,558,6830,43,7191,43,7113,561,735,269,88,113,15818,65,1183,283,2237,306,701,283,916,195,638,26,28.8,3.1,3.6,1.2,23.1,2.8,16.5,2,10.8,1.6,19.7,0.1,20.8,0.1,20.8,1.6,5.6,2,0.3,0.3,45.7,0.2,7.2,1.7,13.6,1.9,5.3,2.1,7,1.4,1.8,0.1,0.7455,0.2752,0.6236,0.8158,0.6742,3.1343,0.7171,0.5348,0.3443,0.847,0.5304,0.2475,2.504,0.5317,0.8396,0.8396,0.8396,0.7922,0.6344,0.937,0.7203,0.4321,3.516,0.9469,9.9939,0.8295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,26891,2819,376,14107,153,1129,0,60,54,10,22,3,5,446,138,63,63,21.4,2.7,40.8,0.4,3.3,0,0.2,0.2,0,0.1,0,0.1,1.3,0.4,0.2,0.2
1,Alabama,AL,1019,Cherokee County,1019,"Cherokee County, Alabama",553.5238774,25069,0,14687,43,9997,438,6322,842,425,160,1986,294,3348,424,2533,434,5827,67,4726,17,5026,459,453,127,227,154,2320,101,174,72,3945,417,72,46,324,113,298,12,25.6,3.4,4,1.5,19.9,2.8,18.1,2.3,10.2,1.8,23.2,0.3,18.9,0.1,20.3,1.9,4.6,1.3,0.9,0.6,9.3,0.4,1.2,0.5,26.9,2.8,0.7,0.5,3.2,1.1,1.2,0,0.6163,0.3509,0.3532,0.8686,0.6328,2.8218,0.6077,0.8034,0.1683,0.8272,0.3223,0.5536,2.6748,0.6494,0.2628,0.2628,0.2628,0.2141,0.9195,0.0948,0.1413,0.2119,1.5816,0.1152,7.341,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18817,2183,313,1000,142,479,0,21,58,113,77,0,24,691,173,16,25,21.8,2.9,4,0.6,1.9,0,0.1,0.2,0.5,0.3,0,0.1,2.8,0.7,0.1,0.1
