OBJECTID,SID,BASIN,SUBBASIN,NAME,NATURE,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
477954,1990145N19276,NA,CS,UNNAMED,TS,20.2,-83.9,25,0,1990,5,25,5/25/1990 0:00
477955,1990145N19276,NA,CS,UNNAMED,TS,20.7,-83.7,25,0,1990,5,25,5/25/1990 0:00
477956,1990145N19276,NA,CS,UNNAMED,TS,21.2,-83.5,25,0,1990,5,25,5/25/1990 0:00
477957,1990145N19276,NA,CS,UNNAMED,TS,21.8,-83.3,25,0,1990,5,25,5/25/1990 0:00
477958,1990145N19276,NA,CS,UNNAMED,TS,22.4,-83.1,25,0,1990,5,25,5/25/1990 0:00
477959,1990145N19276,NA,NA,UNNAMED,TS,23,-82.8,25,0,1990,5,25,5/25/1990 0:00
477960,1990145N19276,NA,NA,UNNAMED,TS,23.6,-82.5,25,0,1990,5,25,5/25/1990 0:00
477961,1990145N19276,NA,NA,UNNAMED,TS,24,-82.2,25,0,1990,5,26,5/26/1990 0:00
477962,1990145N19276,NA,NA,UNNAMED,TS,24.1,-82.1,25,0,1990,5,26,5/26/1990 0:00
477993,1990154N11260,EP,MM,BORIS,TS,20.2,-115.2,60,985,1990,6,6,6/6/1990 0:00
477994,1990154N11260,EP,MM,BORIS,TS,20.5,-115.4,58,990,1990,6,6,6/6/1990 0:00
477995,1990154N11260,EP,MM,BORIS,TS,20.8,-115.5,55,995,1990,6,6,6/6/1990 0:00
477996,1990154N11260,EP,MM,BORIS,TS,21.1,-115.7,50,998,1990,6,6,6/6/1990 0:00
477997,1990154N11260,EP,MM,BORIS,TS,21.4,-115.8,45,1000,1990,6,7,6/7/1990 0:00
477998,1990154N11260,EP,MM,BORIS,TS,21.7,-115.8,38,1003,1990,6,7,6/7/1990 0:00
477999,1990154N11260,EP,MM,BORIS,TS,22,-115.8,30,1006,1990,6,7,6/7/1990 0:00
478000,1990154N11260,EP,MM,BORIS,TS,22.3,-115.8,30,1007,1990,6,7,6/7/1990 0:00
478001,1990154N11260,EP,MM,BORIS,TS,22.6,-115.8,30,1007,1990,6,7,6/7/1990 0:00
478002,1990154N11260,EP,MM,BORIS,TS,22.9,-115.7,28,1008,1990,6,7,6/7/1990 0:00
478003,1990154N11260,EP,MM,BORIS,TS,23.2,-115.7,25,1008,1990,6,7,6/7/1990 0:00
478004,1990154N11260,EP,MM,BORIS,TS,23.5,-115.8,25,1009,1990,6,7,6/7/1990 0:00
478005,1990154N11260,EP,MM,BORIS,TS,23.7,-115.9,25,1009,1990,6,8,6/8/1990 0:00
478006,1990154N11260,EP,MM,BORIS,TS,23.9,-116,23,1010,1990,6,8,6/8/1990 0:00
478007,1990154N11260,EP,MM,BORIS,TS,24.1,-116.2,20,1010,1990,6,8,6/8/1990 0:00
478008,1990154N11260,EP,MM,BORIS,TS,24.3,-116.4,20,1010,1990,6,8,6/8/1990 0:00
478289,1990170N13260,EP,MM,DOUGLAS,TS,20.1,-106.2,40,1000,1990,6,22,6/22/1990 0:00
478290,1990170N13260,EP,MM,DOUGLAS,TS,20.3,-106.4,38,1001,1990,6,22,6/22/1990 0:00
478291,1990170N13260,EP,MM,DOUGLAS,TS,20.4,-106.7,35,1002,1990,6,23,6/23/1990 0:00
478292,1990170N13260,EP,MM,DOUGLAS,TS,20.5,-107,35,1004,1990,6,23,6/23/1990 0:00
478293,1990170N13260,EP,MM,DOUGLAS,TS,20.6,-107.3,35,1005,1990,6,23,6/23/1990 0:00
478294,1990170N13260,EP,MM,DOUGLAS,TS,20.7,-107.6,33,1006,1990,6,23,6/23/1990 0:00
478295,1990170N13260,EP,MM,DOUGLAS,TS,20.8,-108,30,1007,1990,6,23,6/23/1990 0:00
478296,1990170N13260,EP,MM,DOUGLAS,TS,20.9,-108.4,30,1008,1990,6,23,6/23/1990 0:00
478408,1990177N14257,EP,MM,ELIDA,TS,20,-114,68,991,1990,6,29,6/29/1990 0:00
478409,1990177N14257,EP,MM,ELIDA,TS,20.2,-114.7,65,991,1990,6,29,6/29/1990 0:00
478410,1990177N14257,EP,MM,ELIDA,TS,20.4,-115.4,63,992,1990,6,29,6/29/1990 0:00
478411,1990177N14257,EP,MM,ELIDA,TS,20.6,-116.1,60,992,1990,6,29,6/29/1990 0:00
478412,1990177N14257,EP,MM,ELIDA,TS,20.8,-116.9,58,993,1990,6,29,6/29/1990 0:00
478413,1990177N14257,EP,MM,ELIDA,TS,20.9,-117.7,55,994,1990,6,29,6/29/1990 0:00
478414,1990177N14257,EP,MM,ELIDA,TS,21,-118.5,53,996,1990,6,29,6/29/1990 0:00
478415,1990177N14257,EP,MM,ELIDA,TS,21.1,-119.2,50,997,1990,6,30,6/30/1990 0:00
478416,1990177N14257,EP,MM,ELIDA,TS,21.1,-119.9,48,999,1990,6,30,6/30/1990 0:00
478616,1990187N13258,EP,MM,FAUSTO,TS,20.1,-111.8,73,983,1990,7,9,7/9/1990 0:00
478617,1990187N13258,EP,MM,FAUSTO,TS,20.4,-112.1,70,984,1990,7,9,7/9/1990 0:00
478618,1990187N13258,EP,MM,FAUSTO,TS,20.6,-112.4,68,986,1990,7,9,7/9/1990 0:00
478619,1990187N13258,EP,MM,FAUSTO,TS,20.9,-112.7,65,987,1990,7,9,7/9/1990 0:00
478620,1990187N13258,EP,MM,FAUSTO,TS,21.1,-113,70,985,1990,7,9,7/9/1990 0:00
